"Шарапова сохранила второе место в теннисном рейтинге",http://lenta.ru/news/2015/02/23/sharapova/,"
    Россиянка Мария Шарапова осталась на втором месте в рейтинге Женской теннисной ассоциации (WTA). С третьей на четвертую строчку поднялась румынка Симона Халеп, ставшая победительницей турнира WTA в Дубае. Лидерство сохраняет американка Серена Уильямс. Еще одна россиянка, Екатерина Макарова, занимает девятое место. 
  ","Mon, 23 Feb 2015 10:39:00 +0300"
"В «Рособоронэкспорте» рассказали о пользе антироссийских санкций",http://lenta.ru/news/2015/02/23/weapons/,"
    Заместитель генерального директора «Рособоронэкспорта» Сергей Гореславский заявил, что санкции Запада в отношении России принесли пользу для оружейной отрасли. По его словам, отмечается повышенный интерес к российской продукции, что «стало следствием применения санкционной политики в отношении России».
  ","Mon, 23 Feb 2015 09:57:00 +0300"
"Эксперты назвали причину смерти биатлонистки Якимкиной",http://lenta.ru/news/2015/02/23/yakimkina/,"
    Согласно результатам экспертизы, причиной смерти биатлонистки Алины Якимкиной, скончавшейся в субботу, 21 февраля, в ходе гонки в Тюмени, стала острая сердечная недостаточность. Об этом сообщил министр по физической культуре, спорту и молодежной политике Удмуртии Игорь Краснов. 
  ","Mon, 23 Feb 2015 09:44:00 +0300"
"В результате аварии в Томске погибли два человека",http://lenta.ru/news/2015/02/23/tomsk/,"
    В ночь на понедельник, 23 февраля, в Томске произошла авария, в результате которой погибли два человека. Столкновение автомобиля Nissan Almera c ВАЗ-21103 произошло в 02:10 по местному времени (23:10 мск) на улице Иркутский тракт. Пассажирка ВАЗ погибла на месте, водитель автомобиля умер в больнице.
  ","Mon, 23 Feb 2015 09:31:00 +0300"
"Кэмерон приказал активизировать борьбу с российскими шпионами",http://lenta.ru/news/2015/02/23/cameron/,"
    Премьер-министр Великобритании Дэвид Кэмерон распорядился активизировать поиск и слежку за агентами российских спецслужб, работающих в Соединенном Королевстве, утверждает The Times. В MI5, MI6 и МИД Великобритании начат набор русскоговорящих сотрудников, одной задач которых станет прослушивание телефонных разговоров.
  ","Mon, 23 Feb 2015 08:42:01 +0300"
"«Бердмэн» завоевал «Оскара» в номинации «Лучший фильм»",http://lenta.ru/news/2015/02/23/oscar1/,"
    Фильм «Бердмэн» режиссера Алехандро Гонсалеса Иньярриту получил главный приз американской киноакадемии — «Оскар». Он был признан лучшей работой года. Кроме того, Иньярриту удостоен награды за лучшую режиссуру. «Бердмэну» достались еще две премии — за лучший сценарий и лучшую операторскую работу.
  ","Mon, 23 Feb 2015 08:06:00 +0300"
"Представлены главные научные исследования на тему «Оскара»",http://lenta.ru/news/2015/02/23/scienceoscar/,"
    В преддверии вручения 87-й кинопремии «Оскар» компания Thomson Reuters провела обзор главных научных исследований, проведенных на тему премии за последние 15 лет. Ученые отслеживали судьбу номинантов и победителей «Оскара» в течение многих десятилетий, что дало ценный исследовательский материал.
  ","Mon, 23 Feb 2015 08:00:45 +0300"
"Фильм о Сноудене удостоился «Оскара»",http://lenta.ru/news/2015/02/23/citizenfour/,"
    Лента «Гражданин четыре» (Citizenfour) режиссера Лоры Пойтрас о бывшем сотруднике спецслужб США Эдварде Сноудене получила премию Академии кинематографических искусств и наук в номинации «Лучший документальный фильм». Награду получила автор фильма, которая под аплодисменты поблагодарила со сцены Сноудена за мужество.
  ","Mon, 23 Feb 2015 07:16:00 +0300"
"Боевики ИГ сожгли 10 тысяч книг в Мосуле",http://lenta.ru/news/2015/02/23/library/,"
    Боевики группировки «Исламское государство» взорвали центральную библиотеку иракского города Мосул, уничтожив около 10 тысяч книг. Среди уничтоженных изданий — редкие экземпляры по культуре, философии и истории. Экстремисты оправдали свои действия тем, что книги и манускрипты якобы разжигали инакомыслие.
  ","Mon, 23 Feb 2015 07:01:00 +0300"
"Президент Грузии объяснил новый пост Саакашвили желанием служить Украине",http://lenta.ru/news/2015/02/23/georgia/,"
    Назначение бывшего президента Грузии Михаила Саакашвили, объявленного на родине в розыск, советником украинского лидера Петра Порошенко не скажется на отношениях между Киевом и Тбилиси, заявил действующий глава государства Георгий Маргвелашвили. По его словам, каждый грузин «считает своим долгом быть полезным Украине».
  ","Mon, 23 Feb 2015 06:02:00 +0300"
